"title","img","desc"
"  ","//www.99sushibar.com/wp-content/plugins/revslider/public/assets/assets/transparent.png",
" ","//www.99sushibar.com/wp-content/plugins/revslider/public/assets/assets/transparent.png",
"LA MEJOR MATERIA PRIMA DEL MERCADO ","//www.99sushibar.com/wp-content/plugins/revslider/public/assets/assets/transparent.png",
"Una cuidada elaboración, un excelente servicio y su exclusiva decoración se unen para dar forma a 99 Sushi Bar. Un lugar pensado para descubrir los sabores y texturas que encierra la alta cocina japonesa. ","//www.99sushibar.com/wp-content/plugins/revslider/public/assets/assets/transparent.png",
" ","//www.99sushibar.com/wp-content/plugins/revslider/public/assets/assets/transparent.png",
"VANGUARDISTA E INNOVADOR ","//www.99sushibar.com/wp-content/plugins/revslider/public/assets/assets/transparent.png",
"Desde los platos más clásicos de la cocina tradicional nipona hasta los platos más vanguardistas e innovadores. ","//www.99sushibar.com/wp-content/plugins/revslider/public/assets/assets/transparent.png",
" ","//www.99sushibar.com/wp-content/plugins/revslider/public/assets/assets/transparent.png",
"MANJARES DE TEMPORADA ","//www.99sushibar.com/wp-content/uploads/2.jpg",
"Sushi por piezas que se confecciona a la vista del comensal en la barra del restaurante, pescados poco comunes, manjares de temporada como el erizo o la trufa. ","//www.99sushibar.com/4.0/wp-content/uploads/4.png",
" ","//www.99sushibar.com/wp-content/uploads/6.jpg",
"PLATOS QUE SORPRENDEN AL PALADAR ","//www.99sushibar.com/wp-content/uploads/7.jpg",
"Y que invitan a adentrarse y descubrir el mundo de la gastronomía nipona. ","//www.99sushibar.com/wp-content/uploads/9.jpg",
" ","//www.99sushibar.com/wp-content/uploads/11.jpg",
"UNO DE LOS REFERENTES MÁS IMPORTANTES ","//www.99sushibar.com/wp-content/uploads/13.jpg",
"99 Sushi Bar se ha convertido en uno de los referentes más importantes de esta cocina, por su inmejorable relación calidad-precio y por el excelente servicio que brinda su amplio equipo de profesionales especializados en este sector. ","//www.99sushibar.com/wp-content/uploads/17.jpg",
" ","//www.99sushibar.com/wp-content/uploads/18.jpg",
"OFERTA CULINARIA ","//www.99sushibar.com/wp-content/uploads/19.jpg",
"Un restaurante hecho a la medida de un público exigente que, además de la oferta culinaria, encuentra en sus restaurantes una excelente y cuidada carta de vinos con más de 300 referencias para maridar cualquier plato. ","//www.99sushibar.com/wp-content/uploads/20.jpg",
" ","//www.99sushibar.com/4.0/wp-content/uploads/21.png",
"Gunkan de cangrejo real de Alaska. ","//www.99sushibar.com/4.0/wp-content/uploads/24.png",
" ","//www.99sushibar.com/4.0/wp-content/uploads/26.png",
" ","//www.99sushibar.com/4.0/wp-content/uploads/28.png",
"Maki de bogavante en sake con algas wakame, pepino y yuzu. ","//www.99sushibar.com/4.0/wp-content/uploads/29.png",
"Maki de ventresca de atún picado, tobiko, aguacate, hoja de sisho y envuelto en una fina lámina de daikon. ","//www.99sushibar.com/4.0/wp-content/uploads/31.jpg",
" ","//www.99sushibar.com/4.0/wp-content/uploads/32.png",
"Nigiri de anchoa de Santoña y sardina. ","//www.99sushibar.com/wp-content/uploads/34.jpg",
" ",,
"Nigiri de rodaballo flambeado con aceite de cilantro y momiji oroshi. ",,
" ",,
"Taco de toro braseado y panceta con emulsión de tomate chile y hierbas aromáticas. ",,
" ",,
"Nigiri de toro flambeado con tomate. ",,
" ",,
"Bacalao negro de Alaska gratinado con dos capas de miso rojo. ",,
" ",,
"Nigiris templados. ",,
" ",,
"Capumiso de soja fermentada con algas, trufa, cebolleta y espuma de tofu. ",,
" ",,
"Cochinillo toban jan con praliné de pistacho y torreznos. ",,
" ",,
" ",,
"Cóctel de erizo en tempura envueltos en hoja de sisho y atados por una fina cinta de alga nori sobre una delicada salsa de huevo, soja, limón y mantequilla. ",,
" ",,
"Gyozas de jabalí con cebolla caramelizada, queso de Arzúa e infusión de castaña pilonga. ",,
" ",,
"Pichón de mont royal en dos cocciones y calabaza semi-escarchada. ",,
" ",,
"Tartar de atún kimuchi y ensalada de encurtidos en salsa de col china picante fermentada, algas wakame y patata paja. ",,
" ",,
"Tartar de chicharro macerado con jengibre, aceite ocal y ponzu. ",,
"Tempura de langostino tigre troceado y bañado en una cremosa salsa picante. ",,
" ",,
" ",,
"Usuzukuri de lubina con mojo rojo. ",,
"Vieiras a la parrilla con salsa de ume y mentaiko. ",,
" ",,
