"title","img","desc","price"
"Jamón Ibérico de bellota

                                                                            
                                        
                                    
                                ",,,""
"Cecina de Black Angus de Geras de Gordón con almendra marcona tostada y aceite de oliva

                                                                            
                                        
                                    
                                ",,,"26,70€"
"Salmorejo cordobés con huevo de codorniz y jamón ibérico

                                                                            
                                        
                                    
                                ",,,"18,20€"
"Ensaladilla rusa de ventresca de bonito y patata gallega

                                                                            
                                        
                                    
                                ",,,"13,40€"
"Ensaladilla rusa de pulpo y patata gallega

                                                                            
                                        
                                    
                                ",,,"16,00€"
"Ensalada de tomate Amela pelado con ventresca de bonito de costera ""Peña""

                                                                            
                                        
                                    
                                ",,,"18,00€"
"Burrata de Puglia con trilogía de tomates y pesto

                                                                            
                                        
                                    
                                ",,,"18,50€"
"Tabla de quesos artesanos seleccionados

                                                                            
                                        y afinados por La Boulette 100gr
                                    
                                ",,,"17,50€"
"Sardina ahumada con mousse de aguacate o en vinagre con salmorejo

                                                                            
                                        
                                    
                                ",,,"9,00€"
"Tosta de atún rojo de Almadraba con gilda

                                                                            
                                        
                                    
                                ",,,"7,00€/unidad"
"Anchoas del cantábrico de costera ""codesa"" con pan de cristal y tomate Raff rallado

                                                                            
                                        
                                    
                                ",,,"9,50€/unidad"
"Tartar de salmón con guacamole y mango

                                                                            
                                        
                                    
                                ",,,"18,00€"
"Milhojas de foie micuit con láminas de manzana caramelizada

                                                                            
                                        
                                    
                                ",,,"19,00€"
"Volandeiras al carbón con escabeche

                                                                            
                                        de zanahoria y mango  
                                    
                                ",,,"19,50€"
"Croquetas de jamón ibérico de Bellota

                                                                            
                                        
                                    
                                ",,,"22,50€"
"Croquetas de gorgonzola

                                                                            
                                        
                                    
                                ",,,"12,00€"
"Torreznos ""Olmo""

                                                                            
                                        
                                    
                                ",,,"12,00€"
"Tortilla vaga (según temporada)

                                                                            
                                        
                                    
                                ",,,"15,00€"
"Parrillada de verduras de temporada al carbón

                                                                            
                                        con tumaca y piñones
                                    
                                ",,,"17,60€"
"Flores de alcachofas confitadas a la plancha

                                                                            
                                        con salsa romesco 
                                    
                                ",,,"17,20€"
"Flores de Calabacín en tempura rellenas de queso trufado

                                                                            
                                        sobre cama de pisto manchego  
                                    
                                ",,,"6,50€/unidad"
"Puerros de Azagra confitados

                                                                            
                                        con espuma de gorgonzola, Idiazabal y parmesano  
                                    
                                ",,,"7,00C/unidad"
"Tallarines de Judías Verdes de Guetaria “Olmo”

                                                                            
                                        salteadas con Jamón Ibérico de bellota y fondo de su caldo
                                    
                                ",,,"7,00C/unidad"
"Arroz a banda con gamba roja de Garrucha

                                                                            
                                        
                                    
                                ",,,"12,60€"
"Callos a la madrileña con tortilla de patata cuajada al momento.

                                                                            
                                        Homenaje a las Batuecas
                                    
                                ",,,"23,50€"
"",,,"24,50€"
"Caviar Baerii (30gr)

                                                                            
                                        
                                    
                                ",,,""
"Ostras Gillardeau N° 2

                                                                            
                                        
                                    
                                ",,,""
"Tartar de atún rojo de Almadraba Balfego marcado

                                                                            
                                        al estilo de “Antonio” de Zahara de los Atunes  
                                    
                                ",,,"50,00€"
"Trilogía de Atún Rojo de Almadraba Balfego

                                                                            
                                        
                                    
                                ",,,"5,50€/unidad"
"Pulpo a la brasa sobre parmentier y aceite de pimentón de la vera 

                                                                            
                                        
                                    
                                ",,,"24,00€"
"Fritura Olmo

                                                                            
                                        
                                    
                                ",,,"24,50€"
"Merluza de pintxo a la plancha o la Romana con verduritas a la parrilla

                                                                            
                                        
                                    
                                ",,,"22,50€"
"Bacalao al estilo Olmo con pilpil y vizcaína

                                                                            
                                        
                                    
                                ",,,"23,00€"
"Calamar de potera al Josper

                                                                            
                                        
                                    
                                ",,,"23,40€"
"Rape de tripa negra a la Donostiarra

                                                                            
                                        
                                    
                                ",,,"22,20€"
"Lubina Salvaje a la Bilbaína

                                                                            
                                        
                                    
                                ",,,"25,00€"
"",,,"55,00€"
"Steak tartar de lomo madurado 

                                                                            
                                        cortado a cuchillo 
                                    
                                ",,,"62,00€"
"Canelón de cordero lechal deshuesado a baja temperatura 

                                                                            
                                        con verduritas salteadas
                                    
                                ",,,""
"Canelón de rabo de toro

                                                                            
                                        
                                    
                                ",,,""
"Callos a la madrileña 

                                                                            
                                        con su pata y su morro
                                    
                                ",,,"24,00€"
"Carrilleras de cerdo iberico estofadas al Pedro Ximénez 

                                                                            
                                        a baja temperatura con la salsa de sus verduras 
                                    
                                ",,,"9.00€/unidad"
"Magret de pato a la naranja

                                                                            
                                        
                                    
                                ",,,"9,00€/unidad"
"Entraña de Black Angus de Kentucky

                                                                            
                                        
                                    
                                ",,,"18,50€"
"Presa ibérica de ""Joselito"" con demi-glace

                                                                            
                                        
                                    
                                ",,,"21,50€"
"Secreto ibérico ""Joselito"" a la parrilla con pesto de avellana

                                                                            
                                        
                                    
                                ",,,"21,20€"
"Solomillo de ternera Perigord: 

                                                                            
                                        salsa a base de hongos y foie fresco  
                                    
                                ",,,"26,50€"
"Paletilla de lechal a baja temperatura acabada al Josper

                                                                            
                                        
                                    
                                ",,,"23,50€"
"Lomo alto de vaca vieja madurada un mínimo de 45 días a la brasa

                                                                            
                                        
                                    
                                ",,,"25,00€"
"",,,"25,00€"
"Tarta de queso con dulce de leche y carpaccio de fresa

                                                                            
                                        
                                    
                                ",,,"29,50€"
"Arroz con leche al estilo asturiano

                                                                            
                                        con costra de caramelo 
                                    
                                ",,,"63,00€/kg"
"Tarta cremosa de queso horneado al momento 

                                                                            
                                        
                                    
                                ",,,""
"Tarta templada de chocolate Valrhona

                                                                            
                                        con helado de plátanos de La Palma  
                                    
                                ",,,""
"Tiramisú casero de Mascarpone 

                                                                            
                                        y helado de dulce de leche 
                                    
                                ",,,"7,50€"
"Tarta fina de manzana

                                                                            
                                        con helado de vainilla
                                    
                                ",,,"7,00€"
"Tocino de cielo de madrid

                                                                            
                                        
                                    
                                ",,,"8,50€"
"Torrija de pan brioche con toffe de Amaretto 

                                                                            
                                        y helado de turrón
                                    
                                ",,,"8,50€"
"Variado de fruta de temporada pelada

                                                                            
                                        y preparada al momento
                                    
                                ",,,"8,50€"
"platos",,,"8,50€"
"Ensaladilla rusa de ventresca de bonito y patata gallega

                                                                            
                                        
                                    
                                ",,,"7,00€"
"Bocadito de milhojas de fole micuit y láminas de manzana caramelizada

                                                                            
                                        
                                    
                                ",,,"8,50€"
"Homenaje al campero:
Tosta de atún rojo de Almadraba con caviar Baerii

                                                                            
                                        
                                    
                                ",,,"7,50€"
"Volandeiras al carbón con escabeche de zanahorias y crujiente de mango

                                                                            
                                        
                                    
                                ",,," "
"Puerros confitados con espuma de gorgonzola y una fina capa de Idiazábal y parmesano gratinados

                                                                            
                                        
                                    
                                ",,,"Postres a elegir"
"Arroz a banda con gamba roja de Garrucha

                                                                            
                                        
                                    
                                ",,,"Tarta cremosa de queso al estilo tradicional"
"Bacalao al estilo Olmo con pilpil y vizcaína

                                                                            
                                        
                                    
                                ",,,"Tarta de chocolate templada"
"Solomillo de ternera con salsa perigord

                                                                            
                                        
                                    
                                ",,,"Tiramisú de mascarpone"
"

                                                                            
                                        
                                    
                                ",,,"Torrija de brioche con toffee de Amaretto y bola de helado"
