"title","img","desc","price"
"Pan con tomate",,,"6,00€"
"Jamón Ibérico de bellota (5J)",,,"29,00€"
"Anchoas (unidad)",,,"2,50€"
"Lomo ibérico de bellota (5J)",,,"26,50€"
"Salchichón de Vic",,,"21,00€"
"Chorizo de Guijuelo",,,"18,50€"
"Setas",,,"13,50€"
"Boquerones en vinagre",,,"12,00€"
"Melón con jamón",,,"23,00€"
"Queso manchego",,,"14,00€"
"Pimientos de Padrón",,,"14,50€"
"Mejillones (lata)",,,"15,00€"
"Croquetas (jamón o espinacas) Unidad",,,"2,50€"
"Judías verdes",,,"13,50€"
"Salteado setas ajetes y angulas (50 gr)",,,"60,00€"
"Alcachofas con jamón",,,"14,50€"
"Callos a la madrileña",,,"18,00€"
"Salmon ahumado",,,"22,50€"
"Panaché de verduras",,,"14,50€"
"Tortilla española",,,"13,50€"
"Huevos estrellados",,,"14,50€"
"Revuelto “lucio” (setas, ajetes y gambas)",,,"16,00€"
"Gazpacho Andaluz (temporada)",,,"11,00€"
"Ensaladilla rusa ",,,"13,50€"
"Vino de la casa (Cune Reserva)",,,"19,50€"
"Pan ( Precio por persona )",,,"1,50€"
