"title","img","desc"
"Saikro Steak","https://kimurayadubai.com/wp-content/uploads/2022/08/ks1.jpg","Dice cut wagyu tenderloin steak"
"Cream Cheese & Avocado Kyushu Shoyu","https://kimurayadubai.com/wp-content/uploads/2022/08/ks2.jpg","Philadelphia cheese and avocado marinated with sweet soy sauce"
"Taki Gyoza","https://kimurayadubai.com/wp-content/uploads/2022/08/ks3.jpg","Chicken"
"Wagyu Tonpei Yaki","https://kimurayadubai.com/wp-content/uploads/2022/08/ks4.jpg","Wagyu Omellete"
"Ebi And Shiitake Dashimaki","https://kimurayadubai.com/wp-content/uploads/2022/08/ks5.jpg","Japanese Omellete with shrimp and shiitake mushroom"
"Grilled Gyoza [Beef Or Chicken]","https://kimurayadubai.com/wp-content/uploads/2022/08/ks6.jpg","Grilled Dumpling"
"Keichan-Yaki","https://kimurayadubai.com/wp-content/uploads/2022/08/ks7.jpg","Grilled Chicken and Vegetables with miso sauce"
"Niku Tofu","https://kimurayadubai.com/wp-content/uploads/2022/08/ks8.jpg","Sweet cooked Tofu with sliced wagyu beef"
"Kara Age","https://kimurayadubai.com/wp-content/uploads/2022/08/ks9.jpg","Deep Fried Chicken"
"Takoyaki","https://kimurayadubai.com/wp-content/uploads/2022/08/ks10.jpg","Deep fried octopus ball"
"Satsumaimo Stick","https://kimurayadubai.com/wp-content/uploads/2022/08/ks11.jpg","Deep Fried sweet potato with honey mayonnaise"
"Gyu Katsu Sando","https://kimurayadubai.com/wp-content/uploads/2022/08/ks12.jpg","Chateubriand wagyu cutlet sandwich"
