"title","img","desc"
"Tuna Nigiri 2pcs","https://kimurayadubai.com/wp-content/uploads/2022/07/1-9.jpg",""
"Chutoro Nigiri 2pcs","https://kimurayadubai.com/wp-content/uploads/2022/07/2-11.jpg",""
"Ootoro Nigiri 2pcs","https://kimurayadubai.com/wp-content/uploads/2022/07/3-9.jpg",""
"Hotate Nigiri 2pcs","https://kimurayadubai.com/wp-content/uploads/2022/07/4-9.jpg","Scallops"
"Kani Nigiri 2pcs","https://kimurayadubai.com/wp-content/uploads/2022/07/5-9.jpg","Snow Crab"
"Ika Nigiri 2pcs","https://kimurayadubai.com/wp-content/uploads/2022/07/6-8.jpg","Squid"
"Inari 2pcs","https://kimurayadubai.com/wp-content/uploads/2022/07/7-7.jpg","Sushi Pocket"
"Salmon Nigiri 2pcs","https://kimurayadubai.com/wp-content/uploads/2022/07/8-6.jpg","BBQ Eel Rice Bowl

"
"Toro Shime Saba Nigiri 2pcs","https://kimurayadubai.com/wp-content/uploads/2022/07/9-5.jpg","Pickled Mackarel"
"Tai Nigiri 2pcs","https://kimurayadubai.com/wp-content/uploads/2022/07/10-5.jpg","Red Snapper"
"Tai Nigiri 2pcs","https://kimurayadubai.com/wp-content/uploads/2022/07/11-4.jpg","Red snapper"
"Kani Gunkan","https://kimurayadubai.com/wp-content/uploads/2022/07/12-4.jpg","Snow roe Gunkan"
"Uni Gunkan","https://kimurayadubai.com/wp-content/uploads/2022/07/13-2.jpg","Sea urchin Gunkan"
"Ikura Gunkan","https://kimurayadubai.com/wp-content/uploads/2022/07/14-2.jpg","Salmon roe Gunkan"
"Negitoro Gunkan","https://kimurayadubai.com/wp-content/uploads/2022/07/15-2.jpg",""
"Tekka Maki","https://kimurayadubai.com/wp-content/uploads/2022/07/16-2.jpg","Tuna"
"Chutoro Maki","https://kimurayadubai.com/wp-content/uploads/2022/07/17-2.jpg",""
"Negi Toro Maki","https://kimurayadubai.com/wp-content/uploads/2022/07/18-1.jpg","Snow roe Gunkan"
"Salmon Maki","https://kimurayadubai.com/wp-content/uploads/2022/07/19.jpg",""
"Una Kyu Maki","https://kimurayadubai.com/wp-content/uploads/2022/07/20.jpg","BBQ Eel and Cucumber"
"Shiitake Maki","https://kimurayadubai.com/wp-content/uploads/2022/07/21.jpg","BBQ Eel and Cucumber"
"Avocado Maki","https://kimurayadubai.com/wp-content/uploads/2022/07/22.jpg",""
"Cucumber Maki","https://kimurayadubai.com/wp-content/uploads/2022/07/23.jpg","BBQ Eel and Cucumber"
"Takuwan Maki","https://kimurayadubai.com/wp-content/uploads/2022/07/24.jpg","Plum with Shiso"
"Ume Shiso Maki","https://kimurayadubai.com/wp-content/uploads/2022/07/25.jpg",
"Natto Maki","https://kimurayadubai.com/wp-content/uploads/2022/07/26.jpg",
