"title","img","desc"
"Desde Galicia a Madrid, directo a tu mesa.","https://images.squarespace-cdn.com/content/v1/62fdeff9bff0fc3d27921964/c3c1d837-6074-45c2-85ea-48a55450b19f/octopus.png",
"Pulpo Brasa","https://images.squarespace-cdn.com/content/v1/62fdeff9bff0fc3d27921964/1660809253701-1YKKRON99OG34AZO7B73/pulpo+brasa.jpg",
"Txangurro","https://images.squarespace-cdn.com/content/v1/62fdeff9bff0fc3d27921964/1660809253705-4WK87A7OESNU81ADX638/txangurro.jpg",
"Carpaccio de Rape","https://images.squarespace-cdn.com/content/v1/62fdeff9bff0fc3d27921964/1660809253708-1S3EOCB9Y32Q6UUJG7HR/carpaccio+rape.jpg",
"Pulpo a la Gallega","https://images.squarespace-cdn.com/content/v1/62fdeff9bff0fc3d27921964/1660809253712-1UMPX7RI0L0QS15KWT2T/pulpo.jpg",
"Chipirones A La Plancha Con Cebolla Confitada","https://images.squarespace-cdn.com/content/v1/62fdeff9bff0fc3d27921964/1660809253715-SERHOG9K6II9HRCALNWJ/chipirones+potera.jpg",
"Tortilla Campera","https://images.squarespace-cdn.com/content/v1/62fdeff9bff0fc3d27921964/1660809253719-O6EIY94Y87MURZF7YSLZ/tortilla+campera.jpg",
"Jamón De Guijuelo","https://images.squarespace-cdn.com/content/v1/62fdeff9bff0fc3d27921964/1660809253722-1IS2K2O76XH82JFDW9LX/jamon.jpg",
"Empanada de Bonito","https://images.squarespace-cdn.com/content/v1/62fdeff9bff0fc3d27921964/1660809253726-QWNP3FP1DA2VN0EO6N9E/empanada+bonito+2.jpg",
"Tortilla de Betanzos 6 huevos","https://images.squarespace-cdn.com/content/v1/62fdeff9bff0fc3d27921964/1660809253732-KBG81OCLBX41OXH9WU0O/tortilla+betanzos.jpg",
"Ensalada","https://images.squarespace-cdn.com/content/v1/62fdeff9bff0fc3d27921964/1660809253736-HV4I85E3CQMZD4GAOQ6R/ensalada.jpg",
"Xou As Con Pimientos De Padrón","https://images.squarespace-cdn.com/content/v1/62fdeff9bff0fc3d27921964/1660809253739-P9XJGSHLWX49MCWQGQ91/xoubin%CC%83as.jpg",
"Tartar","https://images.squarespace-cdn.com/content/v1/62fdeff9bff0fc3d27921964/1660809253743-EA617SUN6CJ116CCQ9CP/tartar.jpg",
"Salpicón de Mariscos","https://images.squarespace-cdn.com/content/v1/62fdeff9bff0fc3d27921964/1660809253752-GEBJXUUDIKOA491BG73I/salpicon+bogavante+y+marisco.jpg",
"Ensaladilla Rusa","https://images.squarespace-cdn.com/content/v1/62fdeff9bff0fc3d27921964/1660809253756-NLOL36PWL3WI59YMZXC8/ensaladilla+rusa.jpg",
"Alcachofas en Flor","https://images.squarespace-cdn.com/content/v1/62fdeff9bff0fc3d27921964/1660809253760-7H1BH5GTL9MB53V7DXV0/alcachofas+en+flor.jpg",
"Ostra Especial","https://images.squarespace-cdn.com/content/v1/62fdeff9bff0fc3d27921964/e8aa6af5-4063-4ab4-9744-746afb85895a/seafood.png",
"Ostra SuperKing","https://images.squarespace-cdn.com/content/v1/62fdeff9bff0fc3d27921964/1660809253767-7L3I378QU6RJH3RVILA4/ostras+especial.jpg",
"Zamburriñas","https://images.squarespace-cdn.com/content/v1/62fdeff9bff0fc3d27921964/1660809253771-45JR4L5H4IEJX1A7ABEU/ostras+superking.jpg",
"Bogavante a la plancha","https://images.squarespace-cdn.com/content/v1/62fdeff9bff0fc3d27921964/1660809253775-DG6AH4IGIJIJR4XNIT43/zamburrin%CC%83as+copy.jpg",
"Buey de mar","https://images.squarespace-cdn.com/content/v1/62fdeff9bff0fc3d27921964/1660809253778-1TMZ6MBB75K941S4F505/bogavante+plancha.jpg",
"Parrillada","https://images.squarespace-cdn.com/content/v1/62fdeff9bff0fc3d27921964/1660809253781-PFD6O1LYWVZBZ564KV16/buey+mar.jpg",
"Parrillada","https://images.squarespace-cdn.com/content/v1/62fdeff9bff0fc3d27921964/1660809253786-7SKO4GFA9BY1QYO3643C/mariscada.jpg",
"Almejas a la marinera","https://images.squarespace-cdn.com/content/v1/62fdeff9bff0fc3d27921964/1660809253790-3MIL8SZ0XC8YKO5J5ELO/parrillada.jpg",
"Parrillada especial","https://images.squarespace-cdn.com/content/v1/62fdeff9bff0fc3d27921964/1660809253794-SKB4JQVAE1K8K77SB8E7/almejas+marinera+1.jpg",
"Navajas a la plancha","https://images.squarespace-cdn.com/content/v1/62fdeff9bff0fc3d27921964/1660809253797-LDTMFPTQRKI2S1TY64A8/parrillada+especial.jpg",
