"title","img","desc"
"Ten Don","https://kimurayadubai.com/wp-content/uploads/2022/08/r1.jpg","Tempura Rice bowl"
"Gyu Don","https://kimurayadubai.com/wp-content/uploads/2022/08/r2.jpg","Wayu Beef Rice bowl"
"Oyako Don","https://kimurayadubai.com/wp-content/uploads/2022/08/r3.jpg","Chicken & Egg with Rice"
"Chicken Katsu Don","https://kimurayadubai.com/wp-content/uploads/2022/08/r4.jpg","Chicken Cutlet with egg Rice Bowl"
"Kaisen Don","https://kimurayadubai.com/wp-content/uploads/2022/08/r5-1.jpg","Japanese Rice with Sashimi"
"Salmon Ikura Don","https://kimurayadubai.com/wp-content/uploads/2022/08/r6-1.jpg","Salmon & Ikura Rice Bowl"
"Wagyu Yakiniku Don","https://kimurayadubai.com/wp-content/uploads/2022/08/r7-1.jpg","BBQ A5 japanese Wagyu rice bowl"
"Una Don","https://kimurayadubai.com/wp-content/uploads/2022/08/r8.jpg","BBQ Eel Rice Bowl"
"Chicken Teriyaki Don","https://kimurayadubai.com/wp-content/uploads/2022/08/r9.jpg","Grilled Chicken bowl with sweet soy sauce"
"Curry Rice","https://kimurayadubai.com/wp-content/uploads/2022/08/r10.jpg",""
"Chicken Cutlet Curry And Rice","https://kimurayadubai.com/wp-content/uploads/2022/08/r11.jpg",""
"Cha Han","https://kimurayadubai.com/wp-content/uploads/2022/08/r12.jpg","Fried Japanese Rice"
"Niku Maki Onigiri","https://kimurayadubai.com/wp-content/uploads/2022/08/r13.jpg","Rice ball wrapped with wagyu sweet soy sauce"
"Gyu Katsu Sando","https://kimurayadubai.com/wp-content/uploads/2022/08/r14.jpg","Chateubriand wagyu cutlet sandwich"
"Japanese Rice With Miso Soup","https://kimurayadubai.com/wp-content/uploads/2022/08/r15.jpg",""
"Japanese Rice","https://kimurayadubai.com/wp-content/uploads/2022/08/r16.jpg",""
"Miso Soup","https://kimurayadubai.com/wp-content/uploads/2022/08/r17-1.jpg",""
"Spicy Beef Soup","https://kimurayadubai.com/wp-content/uploads/2022/08/r18.jpg",
