"title","img","desc","price"
" Dry Martini Clásico / Seco ",," Tanqueray NºTen, Dolin Dry Vermouth, bitter de naranja","17"
" Vernacci / Seco ",," Candenhead's gin, Dolin Dry Vermouth, bitter de naranja. Acompañado de patatas soufflé","17"
" Gibson / Seco-Fresco ",," Sipsmith London Dry Gin, Dolin Dry Vermouth, Vino Verdejo y cebolletas encurtidas","17"
" Oliva / Seco ",," Beluga Noble, destilado de aceitunas arbequina y kalamata, Dolin Dry Vermouth, bitter de aceitunas","17"
" Dill Martini / Herbáceo-Seco ",," Tanqueray Nº Ten redestilado con eneldo, Dolin Dry Vermouth y bitter de naranja","17"
" No es negroni / Amargo-Herbal-Dulce ",," Nouaison Gin Reserve añejado en bota de cuero, La Quintinye Vermouth Royale
Rouge, Suze y licor benedictine","15"
" Savoy / Amargo-Seco-Balsámico ",," Tequila Entre Manos, Fino, La Quintinye Vermouth Royale Rouge, Amaro y
AOVE.","15"
" Demodé / Dulce-Especiado-Frutos secos ",," Brandy Carlos I macerado con almendra tostada, Lillet Blanc, sirope de manzana asada y canela y angostura","15"
" Cristalino / Cítrico-Herbáceo-Dulce ",," Vodka Ketel One redestilado con eucalipto, cítricos y AOVE","15"
" Banana y Maní / Ahumado-Fresco-Amargo ",," Mezcal 400 Conejos, Bonanto Aperitivo infusionado con hojas de plátano, Italicus, Chartreuse amarillo, zumo de lima","15"
" Habacano Cítrico-afrutado-dulce ",," Pisco el Gobernador, Oleo de plátano con haba tonka y ginger beer","15"
" Cherry Paloma Fresco-Cítrico-Ácido ",," Tequila Centenario plata Cordial de agua de tomate Cherry, manzanilla pasada y soda de pomelo","15"
" Fizz / Cítrico-Especiado ",," Gin Roku, lima, sirope de jengibre y especias, soda de melocotón y clara de huevo","15"
" Trescubano Dulce-Amargo ",," Santiago de Cuba 11, la Quintinyie Vermouth Rpyal Blanc, Eau de Vie de Frambuesa y cítricos","15"
" Fizz Cítrico-Especiado ",," Seedlip Grove 42 citrus, zumo de limón, sirope de jengibre y especias, clara de huevo y soda de melocotón","12"
" Jardín granizado / Afrutado-Cítrico ",," Seedlip Garden 108 Herbal, azahar, lima, ‘shrub’ de fresas, Ginger Beer The London Essence, flores","12"
" Shirley Temple / Afrutado-Cítrico ",," Seedlip Grove 42 citrus, reducción de vino de oporto con frambuesas, Ginger Beer","12"
