"title","img","desc"
"Tuna","https://kimurayadubai.com/wp-content/uploads/2022/08/sa1.jpg","Fresh Tuna"
"Chutoro","https://kimurayadubai.com/wp-content/uploads/2022/08/sa2.jpg","una Medium fatty tuna"
"Ootoro","https://kimurayadubai.com/wp-content/uploads/2022/08/sa3.jpg","Tuna fattiest tuna"
"Salmon","https://kimurayadubai.com/wp-content/uploads/2022/08/sa4.jpg","Fresh Salmon"
"Hamachi","https://kimurayadubai.com/wp-content/uploads/2022/08/sa5.jpg","Yellow Tail"
"Tai","https://kimurayadubai.com/wp-content/uploads/2022/08/sa6.jpg","Red Snapper"
"Hotate","https://kimurayadubai.com/wp-content/uploads/2022/08/sa7.jpg","Scallop"
"Ika","https://kimurayadubai.com/wp-content/uploads/2022/08/sa8.jpg","Yellow Tail"
"Tai","https://kimurayadubai.com/wp-content/uploads/2022/08/sa9.jpg","Red Snapper"
"Salmon Carpacio","https://kimurayadubai.com/wp-content/uploads/2022/08/sa10.jpg",""
"Hamachi Carpaccio","https://kimurayadubai.com/wp-content/uploads/2022/08/sa11.jpg","Yellow Tail carpaccio"
"3 Kind Carpaccio","https://kimurayadubai.com/wp-content/uploads/2022/08/sa12.jpg","Tuna, Salmon and Yellow Tail"
