"title","img","desc"
"Ebi Tempura","https://kimurayadubai.com/wp-content/uploads/2022/08/tf1.jpg","Shrimp Tempura"
"Tempura Moriawase","https://kimurayadubai.com/wp-content/uploads/2022/08/tf2.jpg","Assorted Tempura"
"Yasai Tempura","https://kimurayadubai.com/wp-content/uploads/2022/08/tf3.jpg","Vegetable Tempura"
"Kara Age","https://kimurayadubai.com/wp-content/uploads/2022/08/tf4.jpg","Deep Fried Chicken"
"Spicy Kara Age","https://kimurayadubai.com/wp-content/uploads/2022/08/tf5.jpg","Deep Fried Spicy Chicken"
"Chicken Nanban","https://kimurayadubai.com/wp-content/uploads/2022/08/tf6.jpg","Deep Fried chicken with tartar"
"Chateubriand Cutlet","https://kimurayadubai.com/wp-content/uploads/2022/08/tf7.jpg","Chateubriand beef Cutlet"
"Wagyu Cutlet","https://kimurayadubai.com/wp-content/uploads/2022/08/tf8.jpg","Deep Fried Wagyu minced"
"Satsumaimo Stick","https://kimurayadubai.com/wp-content/uploads/2022/08/tf9.jpg","Deep fried sweet potato with honey mayonnaise"
"Potato Fried Overload","https://kimurayadubai.com/wp-content/uploads/2022/08/tf10.jpg","Deep Fried Potato"
